X,Y,Elevation,Distance
111666.90590000153,563520.6752000004,4.6186000000016065,1.3149861999999994
111681.73310000077,563516.2619000003,4.216899999999441,1.3304565000000002
111696.5604000017,563511.8487000018,4.601800000004005,1.345926999999996
111711.38769999892,563507.4354000017,4.368400000006659,1.3613974000000018
111726.21499999985,563503.0221000016,4.3760999999940395,1.3768678999999975
111741.04230000079,563498.6088999994,6.263099999996484,1.3923383000000031
111755.86950000003,563494.1955999993,5.751499999998487,1.4078086999999941
111770.69680000097,563489.7824000008,4.942299999995157,1.4232790999999998
111785.52409999818,563485.3691000007,4.458199999993667,1.4387495000000055
111800.35139999911,563480.9558999985,4.061600000000908,1.4542200000000012
111815.17870000005,563476.5425999984,3.7617000000027474,1.4696904000000068
111830.00589999929,563472.1292999983,3.658400000000256,1.4851607999999978
