Column1,Column2,Column3,Column4
235,20160621,-1,41
235,20160622,-1,42
235,20160623,164,16
235,20160624,0,27
235,20160625,12,21
235,20160626,0,39
235,20160627,33,31
235,20160628,68,19
235,20160629,10,34
235,20160630,89,20
235,20160701,74,10
235,20160702,2,44
235,20160703,-1,47
235,20160704,0,49
235,20160705,4,19
235,20160706,-1,43
235,20160707,0,37
235,20160708,58,24
235,20160709,46,29
235,20160710,7,38
235,20160711,4,34
235,20160712,19,45
235,20160713,32,27
235,20160714,-1,35
235,20160715,-1,42
235,20160716,24,21
235,20160717,-1,50
235,20160718,0,50
235,20160719,0,52
235,20160720,0,50
235,20160721,0,45
235,20160722,0,33
235,20160723,0,24
235,20160724,0,39
235,20160725,1,27
235,20160726,0,44
235,20160727,38,19
235,20160728,3,19
235,20160729,6,28
235,20160730,36,37
235,20160731,-1,33
235,20160801,18,37
235,20160802,67,16
235,20160803,10,21
235,20160804,7,33
235,20160805,0,35
235,20160806,-1,36
235,20160807,0,26
235,20160808,-1,24
235,20160809,86,30
235,20160810,16,32
235,20160811,100,12
235,20160812,1,21
235,20160813,-1,21
235,20160814,0,31
235,20160815,-1,30
235,20160816,0,30
235,20160817,0,42
235,20160818,0,41
235,20160819,83,28
235,20160820,11,35
235,20160821,127,27
235,20160822,28,15
235,20160823,0,37
235,20160824,0,42
235,20160825,0,40
235,20160826,-1,31
235,20160827,4,35
235,20160828,25,24
235,20160829,-1,33
235,20160830,0,34
235,20160831,0,34
235,20160901,0,26
235,20160902,10,17
235,20160903,103,29
235,20160904,71,22
235,20160905,0,29
235,20160906,0,13
235,20160907,0,31
235,20160908,0,32
235,20160909,0,30
235,20160910,0,27
235,20160911,2,29
235,20160912,0,27
235,20160913,0,32
235,20160914,0,31
235,20160915,0,29
235,20160916,8,16
235,20160917,0,18
235,20160918,-1,25
235,20160919,11,14
235,20160920,-1,19
235,20160921,0,16
235,20160922,-1,12
235,20160923,39,21
235,20160924,0,23
235,20160925,2,21
235,20160926,1,13
235,20160927,2,23
235,20160928,0,21
235,20160929,25,5
235,20160930,22,19
235,20161001,99,15
235,20161002,320,8
235,20161003,26,21
235,20161004,0,20
235,20161005,0,19
235,20161006,0,17
235,20161007,0,12
235,20161008,-1,10
235,20161009,19,10
235,20161010,0,16
235,20161011,-1,12
235,20161012,0,11
235,20161013,0,4
235,20161014,31,8
235,20161015,75,5
235,20161016,-1,16
235,20161017,40,13
235,20161018,262,4
235,20161019,104,14
235,20161020,62,5
235,20161021,50,8
235,20161022,-1,13
235,20161023,25,6
235,20161024,0,5
235,20161025,0,10
235,20161026,-1,6
235,20161027,-1,11
235,20161028,-1,4
235,20161029,0,11
235,20161030,0,6
235,20161031,0,10
235,20161101,2,3
235,20161102,41,8
235,20161103,25,6
235,20161104,151,2
235,20161105,104,4
235,20161106,75,5
235,20161107,0,5
235,20161108,3,3
235,20161109,8,3
235,20161110,34,4
235,20161111,0,7
235,20161112,21,4
235,20161113,15,2
235,20161114,53,1
235,20161115,10,2
235,20161116,31,6
235,20161117,46,3
235,20161118,36,4
235,20161119,131,4
235,20161120,148,1
235,20161121,51,2
235,20161122,0,5
235,20161123,7,1
235,20161124,0,6
235,20161125,0,6
235,20161126,3,5
235,20161127,0,4
235,20161128,0,5
235,20161129,0,5
235,20161130,0,2
235,20161201,-1,3
235,20161202,12,3
235,20161203,0,3
235,20161204,0,3
235,20161205,0,4
235,20161206,0,4
235,20161207,0,2
235,20161208,55,2
235,20161209,0,1
235,20161210,96,1
235,20161211,17,2
235,20161212,0,2
235,20161213,8,2
235,20161214,5,1
235,20161215,0,1
235,20161216,0,3
235,20161217,0,1
235,20161218,0,3
235,20161219,0,4
235,20161220,0,1
235,20161221,5,1
235,20161222,3,4
235,20161223,5,2
235,20161224,-1,2
235,20161225,-1,1
235,20161226,2,4
235,20161227,28,4
235,20161228,0,4
235,20161229,0,1
235,20161230,0,3
235,20161231,0,2
235,20170101,26,1
235,20170102,18,3
235,20170103,4,1
235,20170104,28,3
235,20170105,2,4
235,20170106,6,3
235,20170107,16,1
235,20170108,-1,1
235,20170109,52,1
235,20170110,31,3
235,20170111,5,4
235,20170112,175,3
235,20170113,55,3
235,20170114,56,3
235,20170115,11,3
235,20170116,-1,5
235,20170117,0,3
235,20170118,-1,2
235,20170119,0,5
235,20170120,0,4
235,20170121,0,3
235,20170122,0,5
235,20170123,-1,2
235,20170124,1,5
235,20170125,0,2
235,20170126,0,5
235,20170127,0,5
235,20170128,0,4
235,20170129,81,4
235,20170130,23,3
235,20170131,0,2
235,20170201,13,3
235,20170202,11,6
235,20170203,-1,5
235,20170204,62,5
235,20170205,26,2
235,20170206,0,2
235,20170207,7,1
235,20170208,-1,1
235,20170209,0,2
235,20170210,-1,1
235,20170211,18,2
235,20170212,34,5
235,20170213,0,9
235,20170214,0,9
235,20170215,2,10
235,20170216,1,9
235,20170217,3,4
235,20170218,0,3
235,20170219,11,9
235,20170220,5,6
235,20170221,2,12
235,20170222,33,3
235,20170223,156,4
235,20170224,1,13
235,20170225,84,3
235,20170226,7,4
235,20170227,118,2
235,20170228,37,9
235,20170301,35,13
235,20170302,92,7
235,20170303,17,6
235,20170304,5,5
235,20170305,27,12
235,20170306,0,9
235,20170307,-1,9
235,20170308,50,3
235,20170309,3,13
235,20170310,0,15
235,20170311,0,10
